,0
128,https://apps.usgs.gov/hivis/camera/MN_Kettle_River_below_Sandstone
129,https://apps.usgs.gov/hivis/camera/WI_Spring_Harbor_Storm_Sewer_DOWNSTREAM_at_Madison
130,https://apps.usgs.gov/hivis/camera/PA_East_Branch_Brandywine_Creek_below_Downingtown
131,https://apps.usgs.gov/hivis/camera/MI_Tile_Drain_to_Mill_Creek_near_Waldron_STREAM
132,https://apps.usgs.gov/hivis/camera/MN_Elm_Creek_near_Champlin
133,https://apps.usgs.gov/hivis/camera/WI_Eau_Claire_River_at_Kelly
134,https://apps.usgs.gov/hivis/camera/WI_Big_Roche_A_Cri_Creek_at_HWY_G_near_Leola
135,https://apps.usgs.gov/hivis/camera/NC_French_Broad_River_near_Bent_Creek
136,https://apps.usgs.gov/hivis/camera/WI_RS1_FLUME_OVERVIEW
137,https://apps.usgs.gov/hivis/camera/AZ_National_Data_Conference_2023_Cell_Trail_Camera
138,https://apps.usgs.gov/hivis/camera/MI_Detroit_River_at_Fort_Wayne_at_Detroit
139,https://apps.usgs.gov/hivis/camera/IN_Black_Creek_near_Harlan
140,https://apps.usgs.gov/hivis/camera/OH_Inflow_to_wetland_near_Winn_Road_near_Defiance_WET2
141,https://apps.usgs.gov/hivis/camera/MO_Missouri_River_at_Hermann
142,https://apps.usgs.gov/hivis/camera/WI_Kickapoo_River_at_HWY_131_at_Ontario
143,https://apps.usgs.gov/hivis/camera/OR_North_Umpqua_River_near_Idleyld_Park
144,https://apps.usgs.gov/hivis/camera/WI_Ashwaubenon_Creek_at_Grant_Street_near_West_De_Pere
145,https://apps.usgs.gov/hivis/camera/OH_Wetland_Outflow_near_Winn_Rd_near_Defiance_OUTLET_FLUME
146,https://apps.usgs.gov/hivis/camera/WI_GLRI_Waterway_Number_4_near_Wrightstown_FIELD
147,https://apps.usgs.gov/hivis/camera/WA_Okanogan_River_at_Zosel_Millpond_at_Oroville
148,https://apps.usgs.gov/hivis/camera/PA_Perkiomen_Creek_at_Graterford
149,https://apps.usgs.gov/hivis/camera/NE_Platte_River_at_North_Bend
150,https://apps.usgs.gov/hivis/camera/AK_Yukon_River_at_Eagle
151,https://apps.usgs.gov/hivis/camera/WI_Pecatonica_River_at_Darlington
152,https://apps.usgs.gov/hivis/camera/WI_Madison_Camera_01
153,https://apps.usgs.gov/hivis/camera/NE_Platte_River_above_Loup_Power_Canal_near_Columbus
154,https://apps.usgs.gov/hivis/camera/WI_Fox_River_at_Little_Kaukauna_Lock_above_upper_gate_pool
155,https://apps.usgs.gov/hivis/camera/MI_Sonde_Monitoring_Grand_Rapids
156,https://apps.usgs.gov/hivis/camera/WI_Menomonee_River_at_Wauwatosa
157,https://apps.usgs.gov/hivis/camera/WI_Rock_River_at_Afton
158,https://apps.usgs.gov/hivis/camera/NC_McMullen_Creek_at_Lincrest_Place_at_Charlotte
159,https://apps.usgs.gov/hivis/camera/WI_Yahara_River_at_McFarland_STAFF_PLATE
160,https://apps.usgs.gov/hivis/camera/IN_Overland_Flow_West_of_Bull_Rapids_Road_near_Harlan_FLUME
161,https://apps.usgs.gov/hivis/camera/SC_Black_River_at_I_95_near_Manning_DOWNSTREAM_CAMERA
