,USGS Site Number:,State:,CameraName:,Camera Description:,Latitude:,Longitude:,Timelapse Length:,Collection Interval:,Collection Window:
https://apps.usgs.gov/hivis/camera/WI_GLRI_Bioreactor_inlet_near_Duvall_INLET_ARGIDRAIN,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Trempealeau_River_at_Arcadia,,,,,,,,,
https://apps.usgs.gov/hivis/camera/OH_Auglaize_River_near_Fort_Jennings,,,,,,,,,
https://apps.usgs.gov/hivis/camera/OH_Little_Miami_River_at_Milford,,,,,,,,,
https://apps.usgs.gov/hivis/camera/OH_Maumee_River_near_Defiance,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_GLRI_Bioreactor_inlet_near_Duvall_FIELD,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Wisconsin_River_at_Muscoda,,,,,,,,,
https://apps.usgs.gov/hivis/camera/NM_Rio_Grande_below_Elephant_Butte_Dam,,,,,,,,,
https://apps.usgs.gov/hivis/camera/OH_Wetland_Outflow_near_Winn_Rd_near_Defiance_OUTLET_AGRIDRAIN,,,,,,,,,
https://apps.usgs.gov/hivis/camera/CO_WILLOW_CREEK_SL,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_MARENGO_RIVER_AT_REIMER_ROAD_NR_MARENGO,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Fox_River_at_Kaukauna_Dam_near_canal_entrance,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Lemonweir_River_at_New_Lisbon,,,,,,,,,
https://apps.usgs.gov/hivis/camera/MN_Redwood_River_near_Marshall,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_MT3_STAFF,,,,,,,,,
https://apps.usgs.gov/hivis/camera/AK_Unalakleet_C2,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Cedar_Creek_near_Cedarburg,,,,,,,,,
https://apps.usgs.gov/hivis/camera/NM_Pecos_River_near_Acme,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Wisconsin_River_at_Wisconsin_Rapids,,,,,,,,,
https://apps.usgs.gov/hivis/camera/PA_Susquehanna_River_at_Towanda,,,,,,,,,
https://apps.usgs.gov/hivis/camera/OH_Black_Fork_Mohican_River_at_Shelby_OH,,,,,,,,,
https://apps.usgs.gov/hivis/camera/SC_Congaree_River_at_Columbia,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Big_Creek_Outlet_at_Lake_Redstone_near_La_Valle,,,,,,,,,
https://apps.usgs.gov/hivis/camera/FL_Trout_Creek_at_Wesley_Chapel,,,,,,,,,
https://apps.usgs.gov/hivis/camera/OH_Ottawa_River_near_Kalida,,,,,,,,,
https://apps.usgs.gov/hivis/camera/OH_Wetland_Outflow_near_Winn_Rd_near_Defiance_OUTLET_OVERVIEW,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Treatment_Wetland_2_Surface_Inlet_near_Kaukauna_Staff,,,,,,,,,
https://apps.usgs.gov/hivis/camera/NC_Briar_Creek_near_Charlotte,,,,,,,,,
https://apps.usgs.gov/hivis/camera/PR_Dorado_Camera_1,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Tenmile_Creek_near_Nekoosa,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Milwaukee_River_near_Cedarburg,,,,,,,,,
https://apps.usgs.gov/hivis/camera/AK_Alsek_River_at_Dry_Bay_near_Yakutat,,,,,,,,,
